,salary,f_open,f_employed,f_selfemployed,f_unemployed,f_education,f_organization,f_datascientist,f_designer,f_developer,f_devops,f_engineer,f_scientist,f_years,f_yearspro,f_ambition,f_python,f_r,f_age,f_female,f_male,f_other
67,11194.0,0,1,0,0,1,0,0,0,1,0,0,0,9,7,0,1,0,29,0,1,0
68,19284.0,0,1,0,0,2,1,0,0,1,0,0,0,4,2,0,0,0,18,0,1,0
69,75000.0,0,1,0,0,2,1,0,1,1,0,0,0,28,23,0,0,0,42,0,1,0
70,4128.0,0,1,0,0,1,0,0,0,1,0,0,0,4,0,0,1,0,21,1,0,0
71,110352.0,0,0,1,0,1,0,0,0,1,0,0,0,13,9,0,0,0,29,0,1,0
73,114575.0,0,1,0,0,1,1,0,0,1,0,1,0,7,2,0,1,0,24,0,1,0
74,17491.0,0,1,0,0,1,1,0,0,1,0,0,0,7,7,0,0,0,27,1,0,0
75,39254.0,0,1,0,0,1,0,0,0,1,0,1,0,9,5,1,0,0,32,0,1,0
76,100000.0,0,0,1,0,1,0,0,0,1,0,0,0,22,20,0,0,0,43,0,1,0
77,7696.0,0,1,0,0,1,0,0,0,1,0,0,0,6,3,0,1,0,25,0,1,0
82,117540.0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,22,0,1,0
83,3468.0,0,1,0,0,1,0,0,1,1,0,0,0,3,2,1,0,0,26,0,1,0
84,52704.0,0,0,1,0,1,0,0,0,1,0,1,0,16,14,0,1,0,31,0,1,0
85,16008.0,1,1,0,0,0,1,0,0,1,0,0,0,6,3,0,1,0,26,1,0,0
86,36060.0,0,1,0,0,1,1,0,0,1,0,0,0,20,8,0,1,0,36,0,1,0
89,16788.0,0,1,0,0,2,0,0,0,1,0,0,0,6,2,0,1,0,25,0,1,0
91,57287.0,0,1,0,0,1,0,0,0,1,0,0,0,5,3,0,0,0,35,0,1,0
92,30252.0,0,0,1,0,1,0,0,1,0,0,0,0,3,2,0,1,0,32,0,0,1
93,43180.0,0,1,0,0,0,0,0,1,1,1,0,0,7,5,0,0,0,27,0,1,0
94,110000.0,0,1,0,0,1,0,0,0,1,1,1,0,11,8,0,1,1,30,0,1,0
96,66750.0,0,1,0,0,1,1,1,0,1,0,1,0,7,6,0,1,1,25,0,0,1
99,229016.0,1,1,0,0,0,0,0,0,1,0,0,0,33,20,0,0,0,39,1,0,0
103,2169.0,0,1,0,0,1,1,0,0,1,0,0,0,7,7,0,0,0,29,0,1,0
105,160000.0,0,1,0,0,2,1,0,0,1,0,0,0,20,10,0,1,0,33,0,1,0
107,140000.0,0,1,0,0,1,1,0,0,1,0,0,0,50,48,0,1,0,64,0,1,0
108,46368.0,0,1,0,0,2,1,0,0,1,0,0,0,14,12,0,0,0,41,0,1,0
109,100000.0,1,1,0,0,2,0,1,0,0,0,0,0,10,4,0,1,0,26,0,1,0
112,54996.0,0,1,0,0,1,1,0,0,1,0,0,0,33,31,0,0,0,49,0,1,0
113,53437.0,0,1,0,0,1,0,0,0,1,0,0,0,8,3,1,1,0,26,0,1,0
114,39768.0,0,1,0,0,0,0,0,0,1,0,0,0,6,0,1,0,0,21,0,1,0
115,103117.0,0,1,0,0,2,1,0,0,1,0,1,0,15,9,0,0,0,31,0,1,0
116,26000.0,0,1,0,0,1,1,0,1,1,0,1,0,16,11,0,0,0,38,0,1,0
117,35518.0,1,1,0,0,1,0,0,0,1,0,0,0,8,3,0,0,0,26,0,1,0
119,21612.0,0,1,0,0,1,0,0,0,1,0,0,0,8,2,1,1,0,26,0,1,0
122,18432.0,0,1,0,0,1,1,0,0,1,0,0,0,6,3,0,0,0,24,0,1,0
123,9095.0,1,1,0,0,1,1,0,0,1,1,0,0,7,3,0,0,0,27,0,1,0
124,194800.0,1,0,1,0,1,0,0,1,1,1,0,0,18,14,0,0,0,35,0,1,0
125,60000.0,0,1,0,0,1,0,0,0,1,1,0,0,8,1,0,0,0,32,0,1,0
126,106000.0,0,1,0,0,2,1,0,0,1,1,0,0,25,12,0,1,0,36,0,1,0
128,62000.0,0,1,0,0,2,1,1,0,0,0,1,1,16,11,0,1,0,34,0,1,0
129,13116.0,0,1,0,0,1,0,0,1,1,0,0,0,13,6,0,1,0,23,0,1,0
131,83200.0,0,1,0,0,1,0,0,0,1,0,0,0,12,9,0,1,0,30,0,1,0
133,63016.0,0,1,0,0,2,1,0,0,0,0,1,0,34,27,0,0,0,54,0,1,0
134,32196.0,0,1,0,0,0,1,0,0,1,0,0,0,6,4,1,0,0,32,0,1,0
136,39658.0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,25,0,0,1
137,70000.0,0,1,0,0,1,1,0,0,1,0,0,0,7,2,0,1,0,24,0,1,0
138,7556.0,0,1,0,0,1,0,0,0,1,0,0,0,4,4,0,0,0,25,0,1,0
140,180000.0,1,1,0,0,1,1,0,0,1,0,0,0,8,2,0,0,0,24,1,0,0
141,93951.0,0,1,0,0,0,0,0,0,1,0,0,0,19,17,0,1,0,36,0,0,1
142,54996.0,0,1,0,0,1,1,0,0,1,0,0,0,20,20,0,0,0,47,0,1,0
146,135000.0,0,1,0,0,1,0,0,0,1,0,0,0,7,5,1,0,0,28,1,0,0
147,43992.0,0,1,0,0,1,0,0,0,1,1,0,0,10,15,1,1,0,40,0,1,0
149,54996.0,0,1,0,0,1,1,0,0,1,1,0,0,16,13,0,0,0,34,0,1,0
150,103117.0,0,1,0,0,2,1,0,0,1,0,1,0,30,23,0,1,0,39,0,1,0
152,27498.0,0,0,1,0,1,0,0,0,1,0,0,0,20,16,0,0,0,40,0,1,0
153,962424.0,1,1,0,0,2,1,0,0,1,0,0,0,17,10,0,0,0,34,0,1,0
154,24612.0,0,1,0,0,1,0,0,0,0,0,1,0,3,0,1,1,0,36,0,1,0
155,960000.0,0,1,0,0,1,0,0,0,1,0,0,0,8,4,0,0,0,25,0,1,0
156,47244.0,0,1,0,0,1,1,0,0,1,0,0,0,16,10,0,0,0,29,0,1,0
157,65424.0,0,1,0,0,0,0,0,1,1,1,0,0,24,15,0,1,0,35,0,1,0
158,150000.0,0,0,1,0,2,0,0,0,1,0,0,0,25,22,0,0,0,43,0,1,0
159,43956.0,1,1,0,0,1,0,0,0,1,0,1,0,11,10,0,0,0,35,0,1,0
161,9120.0,0,1,0,0,1,0,0,0,1,0,0,0,3,3,0,0,0,32,1,0,0
162,62807.0,0,1,0,0,1,1,0,0,1,0,0,0,23,20,0,0,0,47,0,1,0
165,38496.0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,28,1,0,0
167,979.0,0,0,0,1,2,0,0,0,0,0,0,0,9,9,0,1,0,32,0,1,0
170,65424.0,0,1,0,0,1,0,0,0,1,0,0,0,8,4,1,0,0,31,0,1,0
171,77911.0,0,1,0,0,2,1,0,0,1,0,0,0,8,7,0,0,0,31,0,1,0
172,2016.0,0,1,0,0,1,0,1,0,1,1,1,0,7,2,0,1,0,24,0,1,0
175,36265.0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,1,1,0,22,0,1,0
176,2500.0,1,0,1,0,0,0,0,0,1,0,0,0,5,6,0,1,0,28,0,1,0
177,70000.0,0,1,0,0,1,1,0,0,1,0,0,0,6,3,1,0,0,35,0,1,0
179,84000.0,0,1,0,0,2,0,0,0,1,0,0,0,12,9,0,0,0,29,1,0,0
181,46913.0,0,1,0,0,1,1,0,0,1,0,0,0,11,7,0,0,0,30,0,1,0
182,40101.0,0,1,0,0,2,0,1,0,1,0,0,0,5,4,0,1,0,29,0,1,0
183,125000.0,0,1,0,0,1,0,0,0,1,0,0,0,12,6,0,0,0,28,0,0,1
186,65424.0,0,1,0,0,2,1,0,0,0,0,1,0,10,7,1,1,1,28,0,1,0
187,61172.0,0,1,0,0,1,1,1,0,1,0,1,0,6,3,1,1,0,28,0,1,0
188,24504.0,0,1,0,0,2,0,0,0,1,0,0,0,8,4,0,0,0,27,0,1,0
189,90000.0,0,1,0,0,1,0,0,0,1,1,0,0,10,5,0,0,0,27,0,1,0
190,28860.0,0,1,0,0,2,0,1,0,1,0,0,1,6,2,0,1,0,28,0,1,0
191,157017.0,0,0,1,0,1,0,0,0,1,0,0,0,35,21,0,0,0,56,0,1,0
192,12828.0,0,1,0,0,2,0,0,0,1,0,0,0,11,5,0,0,0,29,0,1,0
194,44684.0,0,1,0,0,2,0,0,0,1,0,0,0,20,16,0,0,0,40,0,1,0
195,62376.0,0,1,0,0,1,0,1,0,0,0,0,0,7,7,1,0,1,40,0,1,0
199,50868.0,0,1,0,0,1,0,0,0,1,0,0,0,10,10,0,1,0,35,0,1,0
200,72522.0,1,1,0,0,0,1,1,1,1,0,0,0,35,20,0,1,0,45,0,1,0
203,2664.0,0,1,0,0,1,0,0,1,1,0,0,0,7,3,0,0,0,24,0,1,0
204,120000.0,0,1,0,0,1,1,0,0,0,0,1,0,9,7,0,0,0,33,0,1,0
205,57349.0,1,1,0,0,2,0,0,0,1,0,0,0,20,10,0,0,0,34,0,1,0
207,112800.0,0,1,0,0,1,0,0,0,1,1,0,0,9,9,0,1,0,33,0,1,0
208,110000.0,0,1,0,0,2,1,0,0,0,0,0,0,25,17,0,1,0,47,0,0,1
209,117800.0,1,1,0,0,0,0,0,0,1,0,0,0,17,11,1,0,0,30,0,1,0
210,19932.0,0,1,0,0,0,0,0,0,1,0,0,0,4,2,0,0,0,30,0,1,0
211,49006.0,0,1,0,0,1,0,0,0,1,0,0,0,26,22,0,1,0,41,0,1,0
212,66000.0,0,1,0,0,2,1,0,0,0,0,0,0,42,20,0,0,1,58,0,1,0
213,78207.0,0,1,0,0,2,0,0,0,1,0,0,0,35,19,0,1,0,46,0,1,0
214,58501.0,0,1,0,0,1,1,0,0,1,1,0,0,6,2,0,1,0,35,0,1,0
215,54996.0,0,1,0,0,1,0,0,0,1,0,0,0,15,4,0,0,0,36,0,1,0
216,49620.0,0,1,0,0,0,1,0,0,1,0,0,0,18,14,0,0,0,36,0,1,0
217,110000.0,0,1,0,0,1,0,0,0,1,0,0,0,20,15,0,0,0,39,0,1,0
221,6420.0,0,1,0,0,1,0,0,0,1,0,0,0,6,2,1,0,0,23,1,0,0
222,233000.0,0,1,0,0,1,1,0,0,1,1,1,0,14,10,0,0,0,28,0,1,0
227,43740.0,0,1,0,0,2,1,0,0,1,0,0,0,3,0,1,1,0,25,0,1,0
229,80000.0,0,1,0,0,1,0,0,0,1,0,0,0,11,8,1,0,0,31,0,1,0
230,120000.0,0,1,0,0,1,1,0,0,1,0,0,0,14,10,0,0,0,32,0,1,0
231,59579.0,0,1,0,0,2,1,0,0,1,0,0,0,5,5,0,1,0,36,1,0,0
232,54876.0,0,1,0,0,0,0,0,0,1,0,0,0,27,21,0,1,0,45,0,1,0
235,32712.0,0,1,0,0,1,0,0,0,1,0,0,0,11,0,0,0,0,21,0,1,0
236,27986.0,0,1,0,0,2,0,0,1,1,0,0,0,12,9,0,1,0,31,0,1,0
239,65651.0,0,1,0,0,0,0,0,0,1,0,0,0,13,10,0,0,0,32,0,1,0
242,90000.0,0,1,0,0,1,0,0,1,1,0,0,0,20,10,0,1,0,44,0,1,0
243,649536.0,0,1,0,0,0,1,0,1,1,0,0,0,3,1,0,0,0,35,0,1,0
244,88000.0,0,1,0,0,1,1,0,0,1,0,0,0,5,4,0,0,0,33,0,1,0
245,57744.0,1,1,0,0,2,0,0,0,1,0,0,0,18,9,0,0,0,33,0,1,0
247,30588.0,0,1,0,0,1,0,0,0,1,0,0,0,5,1,1,1,0,24,0,1,0
248,80738.0,0,1,0,0,0,1,0,0,1,0,0,0,14,4,0,1,0,27,0,1,0
250,58881.0,1,1,0,0,1,0,0,0,1,1,1,0,20,7,0,0,0,27,0,1,0
251,59579.0,0,1,0,0,0,0,0,0,1,0,0,0,9,9,0,0,0,28,0,1,0
252,130554.0,0,1,0,0,0,1,0,0,0,0,1,0,22,20,0,1,0,41,0,1,0
256,24744.0,0,1,0,0,2,0,0,0,1,0,0,0,6,0,1,1,0,23,0,1,0
257,92073.0,0,1,0,0,0,0,0,0,1,0,0,0,8,5,1,1,0,31,0,1,0
259,235525.0,0,1,0,0,2,1,0,0,1,0,0,0,14,7,0,0,0,27,0,1,0
260,864000.0,0,1,0,0,1,1,0,0,1,0,1,0,9,2,1,1,0,24,0,1,0
261,11194.0,0,0,1,0,2,0,0,0,1,0,0,0,20,16,0,1,0,40,0,1,0
263,32081.0,0,1,0,0,2,0,0,1,1,0,0,0,9,5,0,0,0,40,0,1,0
264,19188.0,0,1,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,33,0,1,0
265,135000.0,0,1,0,0,0,0,0,0,1,0,0,0,10,9,1,1,0,23,0,1,0
266,29225.0,0,1,0,0,1,0,0,0,1,1,0,0,6,1,1,0,0,25,0,1,0
267,123000.0,0,1,0,0,2,0,0,0,1,0,1,0,12,9,0,0,0,32,0,1,0
273,130000.0,1,1,0,0,1,0,0,0,1,0,0,0,21,16,0,1,0,34,0,1,0
274,79176.0,0,1,0,0,1,1,0,0,1,0,0,0,6,3,1,0,0,29,0,1,0
275,23832.0,0,1,0,0,2,0,0,0,1,0,0,0,12,8,0,1,0,29,0,1,0
276,100000.0,0,0,1,0,1,0,0,0,1,0,0,0,12,10,0,1,0,31,0,1,0
277,63016.0,0,1,0,0,2,0,0,0,1,0,0,0,13,4,0,1,0,27,0,1,0
283,471048.0,0,1,0,0,1,0,0,1,1,1,0,0,6,2,0,0,0,32,0,1,0
284,618708.0,0,1,0,0,1,1,0,0,1,0,0,0,8,3,0,1,0,23,0,1,0
287,130000.0,0,1,0,0,0,1,0,0,1,0,0,0,22,10,0,0,0,37,0,1,0
290,115000.0,0,1,0,0,2,0,0,0,1,0,0,0,15,8,1,0,0,27,0,1,0
300,72182.0,0,1,0,0,1,1,0,0,1,0,0,0,15,7,0,1,0,33,0,1,0
301,164892.0,0,0,1,0,1,0,0,0,1,0,0,0,17,12,0,0,0,28,0,1,0
302,75624.0,0,1,0,0,0,0,0,0,1,1,1,0,16,8,0,1,0,30,0,1,0
304,89212.0,0,1,0,0,0,1,0,0,1,1,0,0,36,29,1,1,0,51,0,1,0
306,140000.0,0,1,0,0,2,0,0,0,1,0,0,0,5,0,0,0,0,36,1,0,0
308,49500.0,0,1,0,0,0,0,1,1,1,1,1,0,14,10,0,0,0,32,0,1,0
309,2600.0,0,1,0,0,1,0,0,0,1,0,0,0,5,0,0,1,0,24,0,1,0
310,160000.0,0,1,0,0,2,0,0,0,0,0,1,0,6,5,0,1,0,31,0,1,0
311,55000.0,0,0,1,0,1,0,0,0,1,0,0,0,6,1,0,1,0,23,0,1,0
312,546381.0,0,0,1,0,2,0,0,0,0,0,0,1,25,4,0,1,0,47,0,1,0
313,26352.0,0,1,0,0,1,1,0,0,1,0,0,0,10,0,0,1,0,23,0,1,0
314,84000.0,0,1,0,0,0,1,0,0,1,1,0,0,10,8,1,1,0,22,1,0,0
315,29184.0,0,1,0,0,0,0,0,0,1,0,0,0,8,3,0,0,0,24,0,1,0
316,6000.0,0,1,0,0,1,1,0,0,1,0,0,0,9,0,0,0,0,21,0,1,0
319,140000.0,0,1,0,0,0,0,0,0,1,0,0,0,8,8,1,0,0,32,1,0,0
320,105000.0,0,1,0,0,1,1,0,0,1,0,0,0,6,2,1,1,0,23,0,1,0
321,35376.0,0,0,1,0,1,0,0,1,1,0,0,0,21,21,0,0,0,48,0,1,0
322,30000.0,0,1,0,0,2,0,0,0,1,0,0,0,15,11,1,0,0,34,0,1,0
324,21769.0,0,1,0,0,2,0,0,0,1,0,0,0,7,2,0,1,0,34,0,1,0
326,98964.0,1,1,0,0,1,0,0,0,1,0,0,0,8,5,1,0,0,31,0,1,0
327,48000.0,0,1,0,0,0,0,0,1,1,0,0,0,20,10,0,0,0,47,0,1,0
328,50700.0,0,1,0,0,2,1,0,0,1,1,0,0,23,13,0,0,0,35,0,1,0
329,72182.0,0,1,0,0,2,1,0,0,1,0,0,0,10,3,1,1,0,29,0,1,0
330,65308.0,0,1,0,0,1,1,0,0,1,0,0,0,7,2,1,1,0,24,0,1,0
331,45828.0,0,1,0,0,0,0,0,0,1,0,1,0,7,5,0,1,0,33,0,1,0
332,85776.0,0,1,0,0,1,0,1,0,0,1,0,0,5,3,0,1,0,30,0,1,0
333,51696.0,0,1,0,0,1,1,0,0,1,0,0,0,5,2,0,1,0,30,0,1,0
335,9000.0,0,1,0,0,1,1,1,0,0,0,0,0,6,2,0,1,0,31,0,1,0
336,55000.0,0,1,0,0,1,0,0,0,1,0,0,0,12,1,0,1,0,28,0,1,0
337,11004.0,1,1,0,0,0,0,0,1,1,0,0,1,7,0,1,1,0,16,0,1,0
338,38952.0,0,1,0,0,0,0,0,0,1,0,0,0,20,13,0,0,0,35,0,1,0
339,46992.0,0,1,0,0,2,0,0,0,1,0,0,0,6,1,1,0,0,23,0,1,0
340,36000.0,0,0,1,0,2,0,0,0,1,0,0,0,10,5,0,1,0,35,0,1,0
343,46442.0,0,1,0,0,1,1,0,0,1,0,0,0,14,12,0,0,0,33,0,1,0
347,57000.0,0,1,0,0,2,1,0,0,0,0,1,0,2,1,0,1,0,26,0,1,0
349,54996.0,0,1,0,0,0,0,0,0,1,0,0,0,7,3,1,1,0,25,0,1,0
350,125000.0,0,1,0,0,1,0,0,0,1,0,0,0,4,2,0,0,0,26,0,1,0
352,40404.0,0,1,0,0,1,0,0,0,1,0,0,0,8,6,1,0,0,25,0,1,0
354,13608.0,0,1,0,0,1,0,0,0,1,0,0,0,6,6,1,1,0,29,0,1,0
355,63016.0,0,1,0,0,1,0,0,0,1,0,0,0,14,14,0,0,0,33,0,1,0
356,151000.0,0,1,0,0,1,1,0,0,1,0,0,0,11,4,0,0,0,24,0,1,0
359,55000.0,0,1,0,0,1,0,0,0,1,0,0,0,5,2,0,0,0,25,0,1,0
360,6168.0,0,1,0,0,1,0,0,0,1,0,0,0,17,2,1,0,0,32,0,1,0
361,175000.0,0,0,1,0,0,0,0,0,1,0,1,0,27,20,0,1,0,37,0,1,0
362,100000.0,1,1,0,0,0,0,0,0,1,0,0,0,10,8,0,1,0,40,0,1,0
371,9840.0,0,1,0,0,1,0,0,0,1,0,0,0,5,5,0,1,0,37,0,1,0
372,94451.0,0,1,0,0,2,1,1,0,1,0,0,0,7,4,1,1,0,26,0,1,0
373,75431.0,0,1,0,0,1,1,0,0,1,0,0,0,30,26,0,1,0,57,0,1,0
375,79740.0,0,1,0,0,0,0,0,1,1,0,1,0,20,16,1,0,0,37,0,1,0
376,27269.0,0,1,0,0,1,0,0,0,1,0,0,0,22,9,0,0,0,32,0,1,0
380,34368.0,0,1,0,0,1,0,0,0,1,0,0,0,3,0,1,1,0,26,0,1,0
381,140000.0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,38,0,1,0
382,113000.0,0,1,0,0,0,0,0,0,1,1,0,0,4,4,0,0,0,28,0,1,0
386,16788.0,0,1,0,0,2,0,0,0,1,0,0,0,10,5,0,0,0,27,0,1,0
387,165000.0,0,1,0,0,1,0,0,0,1,0,0,0,15,10,0,0,0,38,0,1,0
388,194900.0,0,1,0,0,1,1,0,0,1,0,0,0,23,19,0,1,0,43,0,1,0
390,135000.0,0,1,0,0,1,0,0,0,1,0,0,0,35,30,0,1,0,52,0,1,0
392,67992.0,0,1,0,0,0,0,0,0,1,0,0,0,15,7,1,0,0,30,0,1,0
393,60924.0,0,1,0,0,1,1,0,1,1,0,0,0,21,18,0,0,0,41,0,1,0
396,30000.0,0,1,0,0,0,1,0,0,0,0,0,0,5,2,1,1,0,22,0,1,0
397,95664.0,0,1,0,0,2,1,0,0,1,0,0,0,13,10,0,0,0,31,0,1,0
398,25980.0,1,1,0,0,2,0,0,0,1,0,0,0,32,20,0,0,0,48,0,1,0
399,118000.0,0,1,0,0,2,0,0,0,1,0,0,0,10,6,0,1,0,31,0,1,0
400,110509.0,0,1,0,0,2,1,0,0,1,0,0,0,27,25,0,0,0,49,0,1,0
402,10495.0,0,1,0,0,2,0,0,0,1,0,0,0,6,5,1,0,0,27,0,1,0
403,53392.0,0,1,0,0,2,0,0,0,1,0,0,0,12,6,0,0,0,30,0,1,0
404,10800.0,0,1,0,0,2,0,0,0,1,0,0,0,14,4,0,0,0,24,0,1,0
406,154000.0,0,1,0,0,2,0,0,0,1,0,0,0,17,12,0,1,1,32,0,1,0
407,35349.0,1,0,1,0,0,0,0,0,1,1,0,0,16,8,0,0,0,33,0,1,0
408,92000.0,0,1,0,0,1,0,0,0,1,0,0,0,24,15,1,0,0,43,0,1,0
409,28572.0,0,1,0,0,2,0,1,0,1,0,0,1,13,11,0,1,1,33,0,1,0
410,23928.0,1,1,0,0,2,0,0,1,1,0,0,0,18,3,0,1,0,28,0,1,0
411,86212.0,1,1,0,0,0,0,1,0,1,1,1,0,17,17,0,0,0,35,0,1,0
412,84840.0,1,1,0,0,2,0,0,1,1,1,0,0,34,20,0,1,0,44,0,1,0
413,130000.0,0,1,0,0,0,1,0,0,1,0,0,0,39,33,0,0,0,50,0,1,0
414,40000.0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,1,0,0,21,0,0,1
416,65424.0,0,0,1,0,1,0,0,0,1,0,0,0,35,7,0,0,0,45,0,1,0
419,54397.0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,27,1,0,0
421,104678.0,0,1,0,0,2,0,0,0,1,0,0,0,22,9,0,0,0,34,0,1,0
422,96445.0,0,1,0,0,2,0,0,0,1,0,0,0,12,4,1,0,0,28,0,1,0
425,48279.0,0,1,0,0,0,1,0,0,1,0,0,0,4,2,0,0,0,32,0,1,0
426,44488.0,0,1,0,0,2,0,0,0,1,0,0,0,4,0,0,1,0,28,0,1,0
427,125000.0,0,1,0,0,1,0,0,0,1,0,0,0,20,15,1,0,0,51,0,1,0
430,39756.0,0,1,0,0,1,1,0,0,1,0,0,0,4,1,1,0,0,24,1,0,0
432,125000.0,0,1,0,0,1,0,0,0,1,0,0,0,30,20,1,0,0,41,0,1,0
433,80000.0,0,1,0,0,1,0,0,0,1,1,1,0,10,4,1,1,0,24,0,1,0
435,52704.0,0,1,0,0,1,0,0,0,1,0,0,0,9,4,0,0,0,25,0,1,0
437,7344.0,0,1,0,0,1,0,0,0,1,1,0,0,9,4,0,1,0,23,0,1,0
440,687444.0,0,1,0,0,0,1,0,0,1,0,0,0,5,5,0,0,0,33,0,1,0
441,37128.0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,28,0,1,0
442,80371.0,1,1,0,0,2,1,0,0,0,0,0,0,14,8,0,1,0,33,0,1,0
443,12828.0,0,1,0,0,1,1,0,0,1,0,0,0,6,6,0,0,0,31,1,0,0
444,34020.0,0,1,0,0,2,0,0,0,1,0,0,0,2,0,1,1,0,25,0,1,0
445,59124.0,0,1,0,0,2,1,0,0,1,0,0,0,10,5,0,1,0,29,0,1,0
448,58024.0,0,1,0,0,1,0,0,0,1,0,0,0,6,4,1,0,0,24,0,1,0
451,85776.0,0,1,0,0,1,0,0,0,1,0,0,0,25,20,0,0,0,39,0,1,0
453,61870.0,0,1,0,0,1,0,0,0,1,0,0,0,12,9,0,1,0,29,0,1,0
454,131000.0,0,1,0,0,2,0,0,0,1,1,1,0,5,3,0,1,0,24,0,0,1
458,57287.0,0,1,0,0,1,0,0,0,1,1,0,0,20,5,0,1,0,32,0,1,0
459,16500.0,0,1,0,0,2,0,0,0,1,0,0,0,35,10,0,0,0,55,1,0,0
460,85000.0,0,1,0,0,0,0,0,0,1,0,0,0,30,21,0,1,0,37,0,1,0
461,9655.0,0,1,0,0,2,0,0,0,1,0,0,0,12,6,1,0,0,29,0,1,0
463,122142.0,0,0,1,0,1,0,0,0,1,1,0,0,25,15,0,0,0,39,0,1,0
